learning rate,sgd step size,latent factors,iterations,last RMSE,RMSE list,last MAE,MAE list
0.075,0.075,20,23,1.4200008118279723,"[1.817336677833854, 1.7690996102495231, 1.7110234916429943, 1.641019195405876, 1.5748784964144908, 1.5251849859236564, 1.4916144255611943, 1.4707830512905278, 1.4567769208244294, 1.4475320971035963, 1.4411293746362208, 1.4367278785852478, 1.432259691090754, 1.4301457938861277, 1.4282987980108492, 1.4259603382472366, 1.4251123967683657, 1.4240084625905027, 1.4224610060096257, 1.4221747399173597, 1.4215966394800452, 1.4203540852690604, 1.4200008118279723, 1.4200307186655714]",0.5844735074260771,"[1.1848233777513222, 1.1216809317498677, 1.0482785191556905, 0.9575410869650228, 0.8665211720589382, 0.7920682580003564, 0.7372844235884897, 0.699003563158067, 0.6713671767320469, 0.6517707259228546, 0.6370795982788388, 0.6261095411904565, 0.6167812503614307, 0.6109956527993606, 0.6055568908873931, 0.6012447250015763, 0.5972702051568073, 0.5944942723806064, 0.5916707801581363, 0.589589990561051, 0.5877013407404625, 0.586085644369183, 0.5844735074260771, 0.5835440126967711]"
0.075,0.075,50,20,1.4002237336375796,"[1.822511852397347, 1.7779197957454458, 1.7248024253110135, 1.6468693431993409, 1.5642333819880327, 1.502885407450705, 1.463801030921569, 1.4411921180541163, 1.426471075250645, 1.41862459076347, 1.4129877723707942, 1.4092780023229807, 1.4065898217504162, 1.404848307525067, 1.403727341121426, 1.402405751579107, 1.40194756499527, 1.4011003833281, 1.4008103123401299, 1.4002237336375796, 1.4003746236147203]",0.5459113670388117,"[1.194621584781372, 1.1359190181366399, 1.0680471522991055, 0.9672426951272489, 0.8527966657739301, 0.75798659377321, 0.6913222169166762, 0.6470979372047114, 0.6164549838233757, 0.5972044215377026, 0.5834021503005575, 0.5737946419413825, 0.5658718676458794, 0.5606113547865313, 0.556801403956966, 0.5532602259401581, 0.5508245439105698, 0.5489468889495932, 0.5476390081027604, 0.5459113670388117, 0.5451641091645756]"
0.075,0.075,100,18,1.3952981639324045,"[1.8281096274464512, 1.78943779939033, 1.7464575880593787, 1.6786722651086625, 1.5918389074610397, 1.5181866437925955, 1.4699984969201836, 1.4405519148416528, 1.4238991689584057, 1.4137414380096063, 1.4075281901875571, 1.4037559370365122, 1.4012673913099007, 1.3993718670379527, 1.3980829650514994, 1.3971873313010346, 1.39651714730268, 1.3952981639324045, 1.3955723996022356]",0.5362210780395764,"[1.2031499756970367, 1.1500504494510042, 1.0949565496717804, 1.0092027886839847, 0.891400984181977, 0.7815860766634231, 0.7002505443082214, 0.6461844877275571, 0.6111816574385011, 0.5879287004341419, 0.5725372969871598, 0.5617529957978241, 0.5544241409243241, 0.5485810950147768, 0.5446649988855378, 0.5416672907895546, 0.5389195554415303, 0.5362210780395764, 0.5352460412799052]"
0.075,0.05,20,37,1.4173298877054936,"[1.8326879569424683, 1.7943064344813926, 1.7653857422370225, 1.7329404398178054, 1.6913239633650168, 1.6442461147348144, 1.5998747420753778, 1.560840992975908, 1.5294457085785482, 1.505442469308193, 1.4867284399242648, 1.4730449641067769, 1.4618748076502022, 1.4539496723938374, 1.447612693843462, 1.442356368236447, 1.4385561430298455, 1.4349969638173414, 1.4326209090972926, 1.4302947076485226, 1.4284380356662028, 1.4264763637394804, 1.4254865354318251, 1.424193054353425, 1.4234151225502838, 1.4228056109671419, 1.4218591588226004, 1.4214601673950595, 1.4208220094542447, 1.419944010716851, 1.41953406193998, 1.4189967003687025, 1.4186881120809263, 1.4184777986953152, 1.4177297936139253, 1.4174570319601334, 1.4173298877054936, 1.4174877253275506]",0.5849189890201699,"[1.2092812209528765, 1.1597194301115576, 1.1218638243089138, 1.0806552481062137, 1.0287875949423053, 0.9677566309823689, 0.9072110701060456, 0.8517887462329982, 0.8046725223277931, 0.7661789237030472, 0.7346990986507805, 0.7096887454863514, 0.6892315403725339, 0.6729037831986306, 0.6599541079732432, 0.6485214383706847, 0.6396959901568666, 0.631837146568412, 0.6255069539291689, 0.6200963898407096, 0.6156005598703005, 0.6112049551273311, 0.607767308576717, 0.6047335705456801, 0.6018719328740725, 0.5997329858986234, 0.5974720601660591, 0.5958030563705148, 0.5942364394539026, 0.5924528954415177, 0.5912107332071566, 0.5899044983869421, 0.5888464373537156, 0.5875275559388674, 0.5866168139539343, 0.5854086143966712, 0.5849189890201699, 0.5845988864257973]"
0.075,0.05,50,35,1.4009197845788852,"[1.8366201642524875, 1.7994582650142423, 1.7742283285566494, 1.7441354621589067, 1.704252522306038, 1.6529440678778178, 1.5991593872699166, 1.5501489797001289, 1.5120986566871415, 1.4834175753518613, 1.4628351793295156, 1.4477283039545574, 1.4367179009529234, 1.4287101016883756, 1.4224649218507381, 1.4182004512487698, 1.414907760036244, 1.4121339814575586, 1.4105889701857004, 1.4088414413177675, 1.407367065069454, 1.4065675837294687, 1.4056237362339268, 1.4048983297957753, 1.404278110681564, 1.4034489093760079, 1.4033613091727721, 1.4024833505602288, 1.4023991676982814, 1.4020664658808255, 1.4018956527363977, 1.4015366554658033, 1.401369938394152, 1.4013678914773569, 1.4009197845788852, 1.4009226716224228]",0.5486920220784565,"[1.2174096855038479, 1.168227524967505, 1.1345578976440462, 1.0961785612763277, 1.0461838304505864, 0.980376784562357, 0.9070077786249341, 0.8362016771962313, 0.7770756677727718, 0.7295155324934232, 0.6923734258991318, 0.6638048470248136, 0.6412022131564649, 0.6241125080568632, 0.610086483457814, 0.5996509843379595, 0.590953607039164, 0.5841625581689965, 0.5787449355073467, 0.5740143851386332, 0.5699448232842428, 0.5671066955072568, 0.563913872552042, 0.5618793352871547, 0.5598452014020564, 0.5577208281828814, 0.5565417405137035, 0.5548006838875598, 0.5537262951551241, 0.5527592343276475, 0.5517378727351379, 0.5508532338238353, 0.5500196312319395, 0.5495368906073319, 0.5486920220784565, 0.5483060244054289]"
0.075,0.05,100,39,1.3927916417441737,"[1.8400548144436912, 1.8048021821960196, 1.7827552420563793, 1.7605025274386077, 1.7289279726651772, 1.6850886551516544, 1.6306655300656479, 1.5766722267405207, 1.5299461574227309, 1.4932990451140686, 1.4669051640290083, 1.4479922274426729, 1.434193846529311, 1.4243729864240084, 1.4169193658216388, 1.4119646075636734, 1.4081334008204822, 1.405108478194564, 1.402557774210149, 1.4012272122771228, 1.3995162416417515, 1.398565178646657, 1.3977166576806552, 1.3967038700910985, 1.3964218098486652, 1.3957403038208172, 1.3954943825798494, 1.394905377862171, 1.394714279873852, 1.3945322222113574, 1.3941028172054064, 1.3939342522421319, 1.3937619927983158, 1.3936145428656403, 1.3931556300353969, 1.3931445108311356, 1.3929387811337248, 1.3928888497429954, 1.3927916417441737, 1.3927989279956947]",0.5333753777098643,"[1.223382899809051, 1.1757282893659957, 1.145096601467616, 1.1157169129151376, 1.076031891502277, 1.020674493137642, 0.9493645278484906, 0.8735317336636805, 0.8035261440102075, 0.7452246545206309, 0.6997379793658114, 0.6647058801625063, 0.637818467433706, 0.6176844280567211, 0.6014189013831253, 0.5890616495737584, 0.5793861250734101, 0.5718653677108567, 0.5655103050194321, 0.5605229331858969, 0.5564709974770506, 0.5531911459001013, 0.5500241536632439, 0.547478553059392, 0.5455893794384341, 0.543872106866285, 0.5422765910088829, 0.540637353354307, 0.5401995669044215, 0.5389586845955021, 0.5379363254497661, 0.5371462744889755, 0.5364328760778548, 0.5358871249908049, 0.5349140006628287, 0.5343772291415861, 0.5338380815706086, 0.5335123927891154, 0.5333753777098643, 0.5330630563138256]"
0.075,0.025,20,61,1.4269634655006715,"[1.86814002174659, 1.8345499095026434, 1.8127948089503039, 1.7973108393510782, 1.7825289638488961, 1.7686234900204667, 1.7543912612684678, 1.7373134147660798, 1.7183588284294895, 1.6976154331460167, 1.6754974362934087, 1.6532615471526235, 1.6311201473050947, 1.6098759452458145, 1.5902278932878569, 1.5723156624222234, 1.5559320870609261, 1.541340374336382, 1.5289364211556076, 1.5176064339064395, 1.5071957738681194, 1.4983992032445785, 1.4908119613190802, 1.4840213375578566, 1.4780269949624625, 1.4727941331633196, 1.4683262962057906, 1.4642233257487967, 1.4604198360336773, 1.4572273601284382, 1.4544995872132906, 1.4517509922355147, 1.4494525853220805, 1.4474404638611142, 1.445527907878672, 1.443942924362827, 1.4425465812516542, 1.4411967614290717, 1.4396996564130018, 1.4387073420941803, 1.4378111272084866, 1.4367048990339353, 1.4358049609362928, 1.435088359395093, 1.4343265941000085, 1.4337159196382512, 1.4330868248683917, 1.4323023649578706, 1.4316430148999089, 1.430989164850332, 1.4306674864637845, 1.4300261595219932, 1.4295822800567781, 1.4291477915416648, 1.4289823875368788, 1.4286022275781514, 1.4281096204939738, 1.4278777859995677, 1.4275366533642835, 1.4275166334679563, 1.4269634655006715, 1.4269983616023967]",0.6017548522904528,"[1.2497208789243037, 1.2099788406709848, 1.1824438088708735, 1.161822764789547, 1.1425820621698288, 1.1245105252771237, 1.106248057842958, 1.084981842854755, 1.0611842140272014, 1.0352304773053316, 1.0069788399103057, 0.977807534893645, 0.9482146491052577, 0.9193971635446517, 0.8919747627484864, 0.866083777858786, 0.842012685074498, 0.8201362854498164, 0.800497298668984, 0.7824475562818412, 0.7656773623147574, 0.7510438483320474, 0.73767514903985, 0.7256078668718076, 0.7147427357633658, 0.7049720583239104, 0.6961568143402536, 0.6882355739020735, 0.6808031744539403, 0.6740368406515382, 0.668212752222298, 0.6626655708066527, 0.657529701128123, 0.6530754575392158, 0.6487325310022048, 0.6449914813027201, 0.6415440894876621, 0.6382899563461554, 0.6351405371242932, 0.632513196018547, 0.6299578231232845, 0.6273361556256132, 0.6252644020850505, 0.6231234126101046, 0.6212361529531844, 0.6194576452626288, 0.6178039732068393, 0.616101181151429, 0.6144691104974056, 0.6129590337335146, 0.6117866178890254, 0.610461206980977, 0.6092280142203192, 0.6080853071966706, 0.6072769974106867, 0.6060616315507404, 0.6051982456467733, 0.6043657449590654, 0.6034873476170869, 0.6027505309568121, 0.6017548522904528, 0.6012073232958182]"
0.075,0.025,50,57,1.4045943406356312,"[1.866634445762141, 1.8330130017177517, 1.8122752820682548, 1.7967623019506445, 1.7837832640905213, 1.7714129480909646, 1.758287125909771, 1.7439452738326788, 1.7267573543219974, 1.7063184368522653, 1.6838683400461165, 1.6585701341128787, 1.6324575643525863, 1.607399207592706, 1.5834451638567733, 1.5612301146269023, 1.5410851947018565, 1.5232175234642262, 1.507764825282505, 1.4941726458866, 1.4822072240884505, 1.4720818038680297, 1.463367452594853, 1.4558006975231215, 1.449309135155042, 1.4438033523695544, 1.439278270691635, 1.4349265182548132, 1.4312986898771132, 1.4281326265560836, 1.4253359713148794, 1.423180318946881, 1.421144340977629, 1.4194495019233626, 1.417585531611435, 1.416290377974745, 1.4152604216321159, 1.4140037607530278, 1.4131013831240078, 1.411874754078656, 1.4114709385995121, 1.410502888277533, 1.4099055019207982, 1.4092671114518083, 1.4088836524119115, 1.4084865169121799, 1.4079312624378673, 1.4073632568870922, 1.4069434514976058, 1.4064526992292024, 1.40636422746491, 1.4060019173291909, 1.405803618062033, 1.405586591285442, 1.4052596194286373, 1.4051963583582665, 1.4045943406356312, 1.4047344215405997]",0.5616957710615113,"[1.2550739761833993, 1.2138202967023803, 1.1865164571929303, 1.1653559128736506, 1.1477529220765115, 1.131114512842392, 1.1141846520663983, 1.0960072141487136, 1.0743650277006842, 1.048852754104933, 1.0201382277259066, 0.9876848370713239, 0.9530236712421161, 0.9186729371967576, 0.8848519128775071, 0.8525305039123438, 0.8225890621234412, 0.7952188957202044, 0.7705148926698127, 0.7482662290612438, 0.728147625997685, 0.7105361646476441, 0.6948766469872364, 0.6808699171092246, 0.6683713108644995, 0.6575648751002711, 0.6479484398418287, 0.6391084013748258, 0.6312801395668043, 0.6243625349356066, 0.6182234778727922, 0.6127748167927818, 0.607846116042275, 0.6034945534880082, 0.5992148928378241, 0.5956321780722779, 0.5924144513940665, 0.5893727579021453, 0.5866482555379213, 0.5839119109232587, 0.5818971846325094, 0.5796306402062981, 0.5778767395495169, 0.5759665304492063, 0.5744231807637804, 0.5729784849022881, 0.571531117712315, 0.5702444670594219, 0.5688642423846406, 0.5676814754113356, 0.5667519537250045, 0.5658229285832871, 0.5649604711837548, 0.5642277878134828, 0.563295945123819, 0.5625982547875975, 0.5616957710615113, 0.5612300294064905]"
0.075,0.025,100,62,1.4009361297896579,"[1.874680055548452, 1.8406480869283297, 1.8201847716410764, 1.8057811484080306, 1.793579139522, 1.7837340392423664, 1.7730475043845408, 1.7620362567321406, 1.74937599932855, 1.7335730942931746, 1.71471589199316, 1.6926819976876413, 1.6681935219738, 1.6421663315780055, 1.6160063395273527, 1.5910549502982925, 1.5674466855204816, 1.5456348569752147, 1.5267133421953472, 1.5097703011382766, 1.4950799031630742, 1.4823159376480775, 1.4716106695455997, 1.4621153897301145, 1.45435307866152, 1.4473684096201864, 1.4412358748247107, 1.4363664564455625, 1.4317462490030732, 1.4280618213995473, 1.424854454634587, 1.4220738518919485, 1.419597941813276, 1.4176019580950194, 1.4156071338818197, 1.4140586133473216, 1.4127185020707367, 1.4114057821914316, 1.4102818881967014, 1.4093593081874083, 1.4083621105547237, 1.4077051255251827, 1.4069457662920641, 1.4062277202388298, 1.4056410541179563, 1.4052724141135575, 1.404820015887241, 1.4042481858738136, 1.4040274415559522, 1.403726692896011, 1.403366895571858, 1.4031009220005897, 1.4028543017806892, 1.402471544183818, 1.402312624943299, 1.4019115720446984, 1.4017792005592493, 1.401730677575677, 1.4016420978037725, 1.4015609622363245, 1.4013421043900842, 1.4009361297896579, 1.401088009242502]",0.5493298812800125,"[1.2660408653653188, 1.2235225748042056, 1.196173942526346, 1.1762468977042102, 1.159416547973885, 1.145644600337426, 1.1313597087380365, 1.1168249789769058, 1.1007579531168326, 1.0811652902181452, 1.0576872710197935, 1.030063084327043, 0.9980906864363162, 0.9635580559065524, 0.9276623597177908, 0.8922527227236088, 0.8578925183036102, 0.8253657787409221, 0.7961049725095848, 0.7691035950899957, 0.7450890681332762, 0.7235445949706741, 0.7047073243647077, 0.687680043788958, 0.6728325200063554, 0.6596445215370137, 0.6479043224692513, 0.637742662366952, 0.628554265342329, 0.6203912730765629, 0.6133349871201286, 0.606968292268298, 0.6013338887954318, 0.5963951926510239, 0.591843300649081, 0.5877853744522288, 0.5840049934273154, 0.580818346113162, 0.577882490337381, 0.5751356219894647, 0.5726385850062062, 0.5704379693849392, 0.5683293397392964, 0.5664900145305632, 0.5647833394164203, 0.5633227679696147, 0.5618627381388697, 0.5604412554590222, 0.559370473960351, 0.5581764961053711, 0.5571643244146761, 0.5562267977925043, 0.5553812488978784, 0.5544942005046165, 0.5537779982124037, 0.5528234060668293, 0.5522081978964543, 0.5515797900438588, 0.5510727535363823, 0.5505178185276206, 0.5499864360008504, 0.5493298812800125, 0.5489569803803296]"
0.075,0.01,20,99,1.4438595707418587,"[1.9071226890065407, 1.8801652446892636, 1.8620486773877307, 1.8480610778446591, 1.8369257723202341, 1.8273262823614265, 1.8193722022069747, 1.8121675826633799, 1.8056167856312306, 1.7997003082538263, 1.793719082005864, 1.7882436774292594, 1.7826968809065575, 1.7772982920032039, 1.771662154273416, 1.7661675212871706, 1.7601485106458266, 1.7539885487658535, 1.747655578040163, 1.7408779202235392, 1.733749013460838, 1.7262605102474924, 1.7186541387189065, 1.7103658550827796, 1.702315814435382, 1.6936748048959929, 1.6850011985037066, 1.6763260179616064, 1.6675165962602587, 1.6586469326114768, 1.6501385494833334, 1.6414991796094398, 1.632912981848418, 1.6246030025324354, 1.61652923680062, 1.6087942766852386, 1.6010476471590882, 1.5937779506574035, 1.5863530956617617, 1.579472568723665, 1.5729359837473842, 1.566763096209216, 1.5606625139779864, 1.5545879894070327, 1.5490738735642868, 1.5437912666243825, 1.5387139557538205, 1.533754457630771, 1.5290835892420014, 1.5246572047223004, 1.5205583975872066, 1.5165233193054435, 1.5128571151384984, 1.5090708029485156, 1.5056889841007883, 1.5022499448871787, 1.4992610162865572, 1.4965119666791828, 1.4934303003902183, 1.490798682200719, 1.4882450256248192, 1.4857893537149005, 1.4834972078288915, 1.4812536656691815, 1.4791182335485489, 1.477208829862891, 1.4752759513219156, 1.4735044238154849, 1.4717780510338347, 1.4700868491288799, 1.4684325057687042, 1.4670150547068315, 1.4655204579124719, 1.4643624465990088, 1.4630117597932482, 1.4617470957485972, 1.4606252772280035, 1.4594126330360073, 1.4582535756775572, 1.4573372573427401, 1.4562745491161564, 1.455255953241258, 1.454419330201978, 1.453536766976328, 1.4526631298120256, 1.4518394398136965, 1.4511844819984525, 1.4505120762640782, 1.4496716212510035, 1.4490200040245647, 1.4483767273378712, 1.4477414888013145, 1.4471347946461472, 1.446585052525479, 1.4459893430665738, 1.4453260801752963, 1.4449733517693297, 1.4443498839298183, 1.4438595707418587, 1.443411326426379]",0.6411157265941202,"[1.2878706191413416, 1.260526682601349, 1.2402501599101283, 1.2238027719627487, 1.2102950872055398, 1.1983691788684483, 1.1881005361800887, 1.1787924159984973, 1.1702032632701616, 1.1624020516493638, 1.1545481467629404, 1.1473007316248267, 1.1400839560888918, 1.1330712284392437, 1.1258189765771676, 1.1187724521348918, 1.111153987074369, 1.103487169134515, 1.0954408877251887, 1.0869975166775414, 1.0781913242713281, 1.0688781090266721, 1.059290019268695, 1.0489984744871488, 1.0388868273378256, 1.0278958112768488, 1.016850047375741, 1.005677683726784, 0.9942909052782162, 0.9828136261817008, 0.9715278699887843, 0.9600609959797644, 0.948668759928066, 0.9373975644359788, 0.9264191989284639, 0.9156162350580622, 0.9049144670320753, 0.8946937577972977, 0.8843497650782405, 0.8745007687449384, 0.8649737166118477, 0.8558352397251198, 0.8468696515219734, 0.8380149156681126, 0.8296861003982213, 0.8216640539838158, 0.8138534021974135, 0.8062404442058357, 0.7990013473406506, 0.7920097042757744, 0.785349068737398, 0.7788785621486528, 0.7728053185399424, 0.7666420435214588, 0.7609843228900462, 0.7554043178069655, 0.7501360898613163, 0.7452688323307379, 0.7401539970056833, 0.7355311660154972, 0.7310196840617418, 0.7266529838409603, 0.7224487619255191, 0.7183819630114533, 0.7144739455353967, 0.7108589065534325, 0.7072972824945378, 0.7038253236147104, 0.7006128428840399, 0.6973536594173603, 0.6942314342359555, 0.6913031237296526, 0.6884440395320324, 0.6858222723619876, 0.6831934622579144, 0.6806254105906773, 0.6782705476780624, 0.6758817421741091, 0.6734992779947736, 0.6714714944575663, 0.6692258379880729, 0.6671569126053253, 0.6652235585551474, 0.6633049605016689, 0.661431863456113, 0.6596639853286365, 0.6580061920430905, 0.6563653257053551, 0.6546604409930264, 0.6531830430256692, 0.6516649922413748, 0.6502041842730854, 0.6488243045125152, 0.6474027229324085, 0.6461150744030663, 0.6447604429699842, 0.6436103429583131, 0.6422869851384359, 0.6411157265941202, 0.6400600020309299]"
