learning rate,sgd step size,latent factors,iterations,last RMSE,RMSE list,last MAE,MAE list
0.05,0.03,50,29,3.689373443706753,"[13.899851544014256, 9.321751751411783, 6.978803979361714, 5.735956868104543, 5.057209848798525, 4.707976607989303, 4.442650110803375, 4.271653219279545, 4.161059253574387, 4.061594790557825, 3.9864039446609856, 3.9334244127180167, 3.8899091653419933, 3.86123661421424, 3.83188540676375, 3.807610305231101, 3.790271335657361, 3.778242813356668, 3.7636899941076454, 3.7467165776834515, 3.7385419117198118, 3.7271005674025726, 3.7223511810246324, 3.7207338775893097, 3.711456874332848, 3.7077244617333576, 3.701183013343644, 3.6935547161035815, 3.689373443706753, 3.692065159831966]",0.5176869334295905,"[1.236911730433589, 1.0505014348589237, 0.91711054347516, 0.8218508541956956, 0.751551975948561, 0.7046911045769524, 0.667029246037045, 0.6392048247405099, 0.6187116427452494, 0.6010526820448199, 0.5870822678134608, 0.576177556864709, 0.5667255590151437, 0.559219176371913, 0.552838642920245, 0.5474424544270962, 0.5430712707159249, 0.5393466980002748, 0.5359682955656375, 0.5326904415520318, 0.5304018067971221, 0.5278633718030142, 0.5262246880511647, 0.52455917980332, 0.5228637377687833, 0.5217204172322243, 0.5202088272418574, 0.5188216520633715, 0.5176869334295905, 0.5169629930131739]"
0.05,0.025,20,70,3.946175540379157,"[14.274769497633818, 11.274139627625749, 9.554576632435353, 8.334037419604885, 7.4813975761942615, 6.857192771160044, 6.360974063850261, 5.9891194502885385, 5.6839941785652535, 5.425676971894336, 5.2273485424028205, 5.0597118769476275, 4.918718154460204, 4.798796563274631, 4.70920870644878, 4.622012523692508, 4.546860887331659, 4.489569299264912, 4.443014437589721, 4.394455195264549, 4.351497407057865, 4.320619202545008, 4.289692347090894, 4.260741123141257, 4.237774785625545, 4.212606597292148, 4.194167613728217, 4.176756443865657, 4.163168757638085, 4.145226105073092, 4.133217163883464, 4.120139331788273, 4.109616080453531, 4.098810391071301, 4.088739457916506, 4.0812589884719035, 4.070000647380618, 4.064503061394694, 4.056700355794934, 4.046330198615772, 4.040580501605989, 4.038266860825, 4.031854119659339, 4.026729303977775, 4.022440614851906, 4.016534906673751, 4.009719265793795, 4.0060337599107285, 4.002559525858113, 3.9987887215420956, 3.994763511492699, 3.994479529714224, 3.9854782306427032, 3.9853764145105006, 3.9832571382712434, 3.97830172706316, 3.975586923797668, 3.975277481438626, 3.9743462738106814, 3.9691340577550425, 3.9672035820339464, 3.96638413194093, 3.9621251622563722, 3.9617050601308126, 3.9593498290024236, 3.956597065608994, 3.9539819046503446, 3.9527743113076905, 3.949099127281717, 3.946175540379157, 3.9464877458452716]",0.5512442670794746,"[1.2644275585795668, 1.1597342054137587, 1.0855937168062744, 1.0228690064574966, 0.9693159824272529, 0.923021305003753, 0.881693053885094, 0.8466794833461674, 0.8153754719023214, 0.7870659692646983, 0.7632148723305134, 0.7422837681923777, 0.7237567132745687, 0.7074876224511277, 0.6936711561800695, 0.6805116388967559, 0.6694938541778642, 0.6597545533940935, 0.6514295049347311, 0.6432037127663258, 0.6358947799749743, 0.6299497053861257, 0.6242761489768924, 0.6190189308630044, 0.6144079823109322, 0.6098542414584279, 0.6061164128016954, 0.6025089120792747, 0.5993432680691623, 0.5962199467090138, 0.5934661876779231, 0.590813927755335, 0.5883909082766624, 0.5862062971787961, 0.5840252254590236, 0.582107000538614, 0.5800264336783766, 0.578485116348071, 0.5767570545853439, 0.5750025929218971, 0.5735541436202384, 0.5725580266475732, 0.5712017842730558, 0.5699091369111535, 0.5688839070060886, 0.5675035779396599, 0.5665292305918725, 0.5654977998112751, 0.5646298607511969, 0.5636403855953062, 0.5627365593049137, 0.5620340524454662, 0.5609328096301626, 0.560370483792216, 0.5597266682315931, 0.5590192561090788, 0.5581802350943363, 0.5577440526830193, 0.557289401719018, 0.5563404229658555, 0.5558871657409961, 0.5552885005432845, 0.5547975535109969, 0.5543470983802836, 0.5538541082909918, 0.5532077687332366, 0.5528175419163516, 0.5522521195905049, 0.5517808282776104, 0.5512442670794746, 0.5510384903245923]"
0.05,0.03,100,20,3.652896911533199,"[14.804560988150355, 8.668211153798865, 6.044675246916718, 4.872155979746809, 4.403489871679849, 4.162674585620113, 3.9935323466934145, 3.9272920360667496, 3.8385190750837137, 3.8254663488733667, 3.770063604501158, 3.7471456038014517, 3.719130437108257, 3.712458857350772, 3.6939217160235063, 3.688525390235907, 3.678358031063914, 3.666909100244438, 3.6611932094252433, 3.652896911533199, 3.654118273780853]",0.5074251253267442,"[1.2438804845734983, 0.982818234021639, 0.8126911367342183, 0.7084184903938731, 0.6477925906107325, 0.6099292008765997, 0.5837544295478099, 0.567951507855084, 0.5528139582624703, 0.5471062390724061, 0.5372245282232704, 0.531121156088411, 0.5260126794151823, 0.5221303320412669, 0.5178600485377175, 0.5153393805477768, 0.5127581791738872, 0.5108193631427167, 0.509207151980179, 0.5074251253267442, 0.5069540228435818]"
0.05,0.025,50,37,3.8061252572298487,"[14.913623911957322, 10.548996100220647, 8.099842212038784, 6.620731813586611, 5.713294358169012, 5.206770307612187, 4.8768108185133805, 4.643446108988472, 4.484968567404366, 4.357845511360389, 4.266759592174076, 4.176746882028922, 4.116798133176662, 4.082198231131328, 4.038425011138701, 4.007875541967637, 3.9793928524791986, 3.9569373585237093, 3.9358308414896346, 3.9180133107362956, 3.906860158802502, 3.8949334683805663, 3.8845149021961296, 3.873236319607734, 3.864492458536245, 3.8559158294652445, 3.8502199944475555, 3.844420584052628, 3.8397791074162932, 3.8335887758508402, 3.829497841569241, 3.8252798329264124, 3.819506744342254, 3.8145404600496087, 3.814201389108191, 3.8106713763628295, 3.8061252572298487, 3.8071540212783295]",0.5214176832428881,"[1.2701956404465882, 1.1046964368177459, 0.9810603156183445, 0.8863030645982917, 0.8121693860812678, 0.7580065686403656, 0.7162417663296436, 0.6838226205824831, 0.6584186910589962, 0.6378977274004664, 0.6211646150748745, 0.6061971196105325, 0.5946830986820332, 0.5856086191826206, 0.5771279663649046, 0.5701586774701504, 0.5639997886216568, 0.5585791700265607, 0.5540571202784098, 0.5501008199014593, 0.5467364972046326, 0.5437546681342563, 0.5413054968760537, 0.538744953550211, 0.5365528439352145, 0.5345429768517508, 0.5328781446159508, 0.531481765238033, 0.5300186370704181, 0.5284360684049648, 0.527320198205462, 0.5260967847083095, 0.5251541016812056, 0.5239930958261858, 0.5231719935180363, 0.5222222905985549, 0.5214176832428881, 0.5207723828624283]"
0.05,0.025,100,26,3.6436597819238843,"[15.097331546536873, 9.467367986368872, 6.758126742346236, 5.395681379442712, 4.65081615453782, 4.315209851536779, 4.140379012023899, 4.034241658597709, 3.9293427954485276, 3.8798288245800827, 3.8245542408766195, 3.803489416539178, 3.7672639206077916, 3.7497025695749633, 3.7296415939287813, 3.711591260974532, 3.702316090373233, 3.6899594802337488, 3.687246072443376, 3.678805269185329, 3.672124329508799, 3.6619153766143873, 3.6593284203366965, 3.655290053508215, 3.6525382214538173, 3.6436597819238843, 3.6461515764171497]",0.5065670363977397,"[1.260714533623662, 1.032158156685616, 0.8694154065801206, 0.7609386906439304, 0.6860042112775698, 0.6398672326887388, 0.6111274506042764, 0.5908844316064611, 0.5732222531227109, 0.5617021932066076, 0.5514837973250957, 0.5449661855499494, 0.5380094300867854, 0.5333007436723447, 0.5287598697663525, 0.5246076470833191, 0.5211975852435947, 0.5187000087243634, 0.5165726235485004, 0.5142636623584347, 0.5127098910116199, 0.5109256799899512, 0.5095896266097574, 0.5090526690807472, 0.507873695597173, 0.5065670363977397, 0.5060315201622676]"
0.05,0.025,20,70,3.946175540379157,"[14.274769497633818, 11.274139627625749, 9.554576632435353, 8.334037419604885, 7.4813975761942615, 6.857192771160044, 6.360974063850261, 5.9891194502885385, 5.6839941785652535, 5.425676971894336, 5.2273485424028205, 5.0597118769476275, 4.918718154460204, 4.798796563274631, 4.70920870644878, 4.622012523692508, 4.546860887331659, 4.489569299264912, 4.443014437589721, 4.394455195264549, 4.351497407057865, 4.320619202545008, 4.289692347090894, 4.260741123141257, 4.237774785625545, 4.212606597292148, 4.194167613728217, 4.176756443865657, 4.163168757638085, 4.145226105073092, 4.133217163883464, 4.120139331788273, 4.109616080453531, 4.098810391071301, 4.088739457916506, 4.0812589884719035, 4.070000647380618, 4.064503061394694, 4.056700355794934, 4.046330198615772, 4.040580501605989, 4.038266860825, 4.031854119659339, 4.026729303977775, 4.022440614851906, 4.016534906673751, 4.009719265793795, 4.0060337599107285, 4.002559525858113, 3.9987887215420956, 3.994763511492699, 3.994479529714224, 3.9854782306427032, 3.9853764145105006, 3.9832571382712434, 3.97830172706316, 3.975586923797668, 3.975277481438626, 3.9743462738106814, 3.9691340577550425, 3.9672035820339464, 3.96638413194093, 3.9621251622563722, 3.9617050601308126, 3.9593498290024236, 3.956597065608994, 3.9539819046503446, 3.9527743113076905, 3.949099127281717, 3.946175540379157, 3.9464877458452716]",0.5512442670794746,"[1.2644275585795668, 1.1597342054137587, 1.0855937168062744, 1.0228690064574966, 0.9693159824272529, 0.923021305003753, 0.881693053885094, 0.8466794833461674, 0.8153754719023214, 0.7870659692646983, 0.7632148723305134, 0.7422837681923777, 0.7237567132745687, 0.7074876224511277, 0.6936711561800695, 0.6805116388967559, 0.6694938541778642, 0.6597545533940935, 0.6514295049347311, 0.6432037127663258, 0.6358947799749743, 0.6299497053861257, 0.6242761489768924, 0.6190189308630044, 0.6144079823109322, 0.6098542414584279, 0.6061164128016954, 0.6025089120792747, 0.5993432680691623, 0.5962199467090138, 0.5934661876779231, 0.590813927755335, 0.5883909082766624, 0.5862062971787961, 0.5840252254590236, 0.582107000538614, 0.5800264336783766, 0.578485116348071, 0.5767570545853439, 0.5750025929218971, 0.5735541436202384, 0.5725580266475732, 0.5712017842730558, 0.5699091369111535, 0.5688839070060886, 0.5675035779396599, 0.5665292305918725, 0.5654977998112751, 0.5646298607511969, 0.5636403855953062, 0.5627365593049137, 0.5620340524454662, 0.5609328096301626, 0.560370483792216, 0.5597266682315931, 0.5590192561090788, 0.5581802350943363, 0.5577440526830193, 0.557289401719018, 0.5563404229658555, 0.5558871657409961, 0.5552885005432845, 0.5547975535109969, 0.5543470983802836, 0.5538541082909918, 0.5532077687332366, 0.5528175419163516, 0.5522521195905049, 0.5517808282776104, 0.5512442670794746, 0.5510384903245923]"
0.03,0.05,20,33,3.7275823401661183,"[11.735763706045116, 8.226971651103266, 6.616272972797739, 5.698141272337937, 5.124564554078274, 4.764061628569475, 4.513521731167797, 4.335121918429138, 4.206145310524345, 4.121692592157357, 4.053550155836609, 3.9923851327778865, 3.951474194469866, 3.9207606955657135, 3.8962704593965105, 3.866013320559448, 3.847562081610761, 3.836666513730725, 3.8165805842421934, 3.8081307978930203, 3.799271951448339, 3.7825558288369896, 3.772778595370757, 3.7717326287165633, 3.7669625762315406, 3.758861036611813, 3.7529197774235965, 3.7502856610358943, 3.744890657791829, 3.740457373890636, 3.7376139419869365, 3.734616091420381, 3.7275823401661183, 3.7279058809842547]",0.5058649235627994,"[1.1718130763190442, 1.009749331944863, 0.8969689260922417, 0.8132021999144752, 0.7484130757604224, 0.7005066194772823, 0.6635063722355037, 0.6346583809638922, 0.6129599268669019, 0.5960797164902062, 0.5822121504507516, 0.5707353713566733, 0.5615589052728769, 0.5541578324008612, 0.548010969054302, 0.5425662105298714, 0.5374599584403609, 0.5340591048359762, 0.5298099234680725, 0.5270871177841777, 0.5245690508274659, 0.5215158266147497, 0.5192030202662753, 0.5175610901024222, 0.5159937933011135, 0.5144194773108518, 0.5125873711679704, 0.5113977330552096, 0.5101380482542444, 0.5089229763386656, 0.5077746694572656, 0.5069338130678502, 0.5058649235627994, 0.5046548942661836]"
0.03,0.05,50,1,12.139650720565804,"[12.139650720565804, 27.400230427525383]",1.1552054843773196,"[1.1552054843773196, 1.4761079732560367]"
0.03,0.05,100,1,43.787990452368064,"[43.787990452368064, 78.75300769412361]",1.8109442713422206,"[1.8109442713422206, 2.250549251504152]"
0.05,0.025,50,37,3.8061252572298487,"[14.913623911957322, 10.548996100220647, 8.099842212038784, 6.620731813586611, 5.713294358169012, 5.206770307612187, 4.8768108185133805, 4.643446108988472, 4.484968567404366, 4.357845511360389, 4.266759592174076, 4.176746882028922, 4.116798133176662, 4.082198231131328, 4.038425011138701, 4.007875541967637, 3.9793928524791986, 3.9569373585237093, 3.9358308414896346, 3.9180133107362956, 3.906860158802502, 3.8949334683805663, 3.8845149021961296, 3.873236319607734, 3.864492458536245, 3.8559158294652445, 3.8502199944475555, 3.844420584052628, 3.8397791074162932, 3.8335887758508402, 3.829497841569241, 3.8252798329264124, 3.819506744342254, 3.8145404600496087, 3.814201389108191, 3.8106713763628295, 3.8061252572298487, 3.8071540212783295]",0.5214176832428881,"[1.2701956404465882, 1.1046964368177459, 0.9810603156183445, 0.8863030645982917, 0.8121693860812678, 0.7580065686403656, 0.7162417663296436, 0.6838226205824831, 0.6584186910589962, 0.6378977274004664, 0.6211646150748745, 0.6061971196105325, 0.5946830986820332, 0.5856086191826206, 0.5771279663649046, 0.5701586774701504, 0.5639997886216568, 0.5585791700265607, 0.5540571202784098, 0.5501008199014593, 0.5467364972046326, 0.5437546681342563, 0.5413054968760537, 0.538744953550211, 0.5365528439352145, 0.5345429768517508, 0.5328781446159508, 0.531481765238033, 0.5300186370704181, 0.5284360684049648, 0.527320198205462, 0.5260967847083095, 0.5251541016812056, 0.5239930958261858, 0.5231719935180363, 0.5222222905985549, 0.5214176832428881, 0.5207723828624283]"
