weights,RMSE,MAE
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",1.1990111000368053,0.9676409635992089
"[0.5, 0.3, 0.2]",1.1855333756192141,0.9463759012097807
"[0.5, 0.4, 0.1]",1.1809344291707071,0.933641691849312
"[0.4, 0.4, 0.2]",1.1856730396949973,0.9470420202057263
